Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Art & Design,Jakarta,0,1,3250000,4650000
Sales,Jawa,0,0,3500000,5500000
Other,Jawa,0,1,3200000,4000000
Factory and Manufacturer,Jakarta,0,1,4000000,4285799
Hospitality & Travel,Jawa,0,0,6000000,7000000
Other,Jawa,0,0,4500000,5500000
Other,Jawa,0,1,4614854,5000000
Hospitality & Travel,Jakarta,0,0,12500000,16000000
Factory and Manufacturer,Jawa,0,0,4500000,5500000
Other,Jakarta,0,1,8600000,10200000
Administration,Jawa,0,0,4400000,5500000
Hospitality & Travel,Jakarta,0,0,2830500,3000000
Hospitality & Travel,Jakarta,0,0,4500000,5500000
Other,Jawa,0,0,4500000,5500000
"Accounting, Finance, Banking",Jakarta,0,1,4600000,5000000
Other,Jawa,0,0,4500000,5500000
Sales,Jakarta,0,1,3000000,5000000
Marketing,Jakarta,0,1,3000000,6000000
Sales,Jakarta,0,1,4500000,5000000
Human Resources & General Affair,Jawa,0,1,4500000,5000000
Administration,Jawa,0,0,4000000,6000000
Marketing,Other,0,1,3000000,3500000
Marketing,Other,0,1,4000000,8000000
Public Relation,Other,0,0,4000000,8000000
Sales,Other,0,1,4000000,8000000
Sales,Jawa,0,1,4000000,8000000
Other,Sumatera,0,1,2000000,3500000
Other,Jawa,0,0,6000000,10000000
Sales,Jawa,0,0,3440000,4300000
Marketing,Kalimantan,0,1,2200000,2500000
Sales,Jawa,0,1,3000000,4500000
Hospitality & Travel,Sumatera,0,1,1900000,3000000
Sales,Jakarta,0,1,500000,10000000
Sales,Kalimantan,0,1,4000000,7000000
Marketing,Jakarta,0,1,2600000,3500000
Business,Jakarta,0,0,7000000,12000000
Administration,Jakarta,0,1,5000000,7000000
Other,Jawa,0,1,3137675,5000000
Marketing,Jawa,0,0,5000000,6200000
"Accounting, Finance, Banking",Jakarta,0,1,2800000,3000000
Administration,Jawa,0,1,4000000,4500000
Other,Jakarta,0,1,4200000,4250000
Sales,Jakarta,0,0,3500000,5500000
Sales,Jawa,0,1,4500000,7000000
Marketing,Kalimantan,0,0,4000000,5500000
"Accounting, Finance, Banking",Jawa,0,0,6000000,6500000
Other,Jakarta,0,0,4000000,5000000
Other,Jakarta,0,0,4500000,5000000
Sales,Jakarta,0,1,2500000,5000000
Other,Jakarta,0,1,4000000,4400000
Sales,Jawa,0,0,3500000,6000000
Public Relation,Jakarta,0,1,4400000,5000000
Factory and Manufacturer,Jawa,0,0,6500000,8000000
Business,Jakarta,0,0,6000000,15000000
Public Relation,Jakarta,0,0,4000000,6000000
Art & Design,Jawa,0,1,4500000,4600000
Hospitality & Travel,Jakarta,0,1,5000000,6500000
Administration,Jawa,0,1,4000000,7000000
Administration,Jakarta,0,0,2800000,3000000
"Accounting, Finance, Banking",Jakarta,0,0,4500000,5000000
Other,Jakarta,0,1,1750000,2100000
Administration,Jakarta,0,1,4000000,4400000
Sales,Jakarta,0,0,6000000,30000000
Sales,Sumatera,0,1,4200000,4600000
Journalistic and Entertainment,Sulawesi,0,0,4500000,6000000
Factory and Manufacturer,Jakarta,0,1,2700000,3300000
Art & Design,Jawa,0,0,4600000,5000000
Sales,Jawa,0,1,4000000,5000000
Administration,Jawa,0,1,3000000,6000000
Sales,Jawa,0,0,5000000,5500000
Other,Jakarta,0,0,3000000,8000000
Internet & New Media,Jawa,0,0,2500000,3000000
