Job_Title,City,Yrs_of_Exp,Salary
Customer Service,"Senen, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Project Admin Legal Staff,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.000.000
HR - Admin,Jakarta, Kurang dari setahun, IDR 4.700.000 - 5.000.000
Admin Gudang,Jakarta, 1 – 3 tahun,
Staff Administrasi,Bandung, Kurang dari setahun, IDR 3.500.000 - 4.000.000
HR & GA Officer,"Cakung, Jakarta", 3 – 5 tahun, IDR 5.000.000 - 6.000.000
Admin Service Center,Jakarta, Kurang dari setahun, IDR 4.000.000 - 4.500.000
Personal Assistant (Fresh Graduate),"Kembangan, Jakarta", Kurang dari setahun, IDR 5.000.000 - 6.000.000
Customer Service Officer,Jakarta, Kurang dari setahun, IDR 4.000.000 - 5.000.000
Admin Online,Bandung, Kurang dari setahun, IDR 2.390.000 - 3.000.000
Digital Marketing Intern (Remote),Jakarta, Kurang dari setahun, IDR 3.000.000 - 4.500.000
Administrasi Support,Jakarta, 1 – 3 tahun, IDR 5.000.000
Stockist dan Audit Inventory,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 10.000.000
HR Generalist,"Sunter, Jakarta", Kurang dari setahun, IDR 5.000.000 - 6.000.000
ADMINISTRASI DATA,Jakarta, Kurang dari setahun, IDR 3.000.000 - 4.500.000
Freelance Translator Remote/Work from Home,Jakarta, 1 – 3 tahun,
Administrative Staff / Customer Service,"Grogol Petamburan, Jakarta", Kurang dari setahun, IDR 3.000.000 - 4.000.000
Staff Administrasi,"Kebayoran Lama, Jakarta",, IDR 4.000.000 - 6.000.000
Admin Finance,,,
HR - Relationship Officer,"Tambora, Jakarta", 1 – 3 tahun, IDR 4.800.000 - 5.000.000
ADMINISTRASI SUPPORT,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Staff Administrasi,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 4.500.000
IT SUPPORT,Bandung, Kurang dari setahun, IDR 3.750.000 - 4.000.000
Admin Sales,"Menteng, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Management Trainee,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 4.700.000
Staff Accounting,Jakarta, Kurang dari setahun, IDR 4.000.000 - 10.000.000
Administration Staff (Pricing and Quotation),Surabaya, Kurang dari setahun,
HR Associate,"Palmerah, Jakarta", Kurang dari setahun,
Accounts Admin Executive ( Work From Home),"Kuningan, Jakarta", 3 – 5 tahun,
Administrasi support,Jakarta, Kurang dari setahun, IDR 5.000.000 - 6.000.000
HR Recruitment (Internship),"Kebayoran Lama, Jakarta", 1 – 3 tahun,
Staff Administrasi Invoice,"Tanah Abang, Jakarta", Kurang dari setahun,
Senior Graphic Designer,Tangerang, 1 – 3 tahun,
Software Developer,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
ACCOUNTING ADMIN,"Kebayoran Baru, Jakarta", Kurang dari setahun, IDR 5.000.000 - 7.000.000
Banking Back Office,"Cakung, Jakarta", 3 – 5 tahun, IDR 5.000.000 - 6.000.000
Payroll Intern,Jakarta, Kurang dari setahun, IDR 4.450.000 - 4.800.000
E-Commerce Officer,Jakarta, Kurang dari setahun,
Frontliner (Customer Service -Teller),"Penjaringan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Admin Customer Care,Jakarta, Kurang dari setahun, IDR 5.000.000
GENERAL AFFAIR STAFF,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 4.800.000
Purchasing Staff,"Tanjung Priok, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 4.500.000
IT Support,Surabaya, 1 – 3 tahun, IDR 4.375.500 - 5.500.000
PURCHASING & ADMINISTRATOR,"Gambir, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Kurir & Support,Bandung, 1 – 3 tahun, IDR 3.200.000 - 3.500.000
Social Media Specialist,"Penjaringan, Jakarta", Kurang dari setahun, IDR 2.000.000 - 4.000.000
Secretary to Director,"Menteng, Jakarta", 1 – 3 tahun, IDR 10.000.000
Finance Accounting Staff,"Cakung, Jakarta", 1 – 3 tahun,
Senior Finance Staff,"Jatinegara, Jakarta", 1 – 3 tahun,
Admin Banking - Finance and Tax,Jakarta, 5 – 10 tahun, IDR 15.000.000 - 20.000.000
ACCOUNTING STAFF,"Penjaringan, Jakarta", Kurang dari setahun, IDR 4.000.000 - 5.000.000
PURCHASING OFFICER,Jakarta, 1 – 3 tahun,
STaf Admin Impor (Medan),"Cakung, Jakarta", 5 – 10 tahun, IDR 5.500.000 - 7.000.000
Finance Accounting and Tax Officer (FAT Officer),Medan, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Operations Manager,"Cilandak, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Digital Marketing Executive,"Kuningan, Jakarta", 5 – 10 tahun, IDR 10.000.000 - 15.000.000
Legal Staff,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Social Media Officer Intern,Jakarta, 1 – 3 tahun,
Social Media Team,Jakarta, Kurang dari setahun,
Admin Marketplace,Jakarta, 1 – 3 tahun, IDR 5.000.000
GENERAL AFFAIR,Tangerang, 1 – 3 tahun, IDR 3.700.000 - 5.000.000
Junior Public Relations Associate,Surabaya, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Creative Producer,"Gambir, Jakarta", 1 – 3 tahun, IDR 4.500.000
Regulatory Affair and Import Officer ,"Grogol Petamburan, Jakarta", 1 – 3 tahun,
HR Manager,Jakarta, Kurang dari setahun,
HR Generalist Officer,Jakarta, 3 – 5 tahun, IDR 10.000.000 - 12.000.000
Brand Manager,Surabaya, Kurang dari setahun,
Peronal Assistant,Jakarta, 3 – 5 tahun, IDR 10.000.000 - 18.000.000
Call Center Officer,"Gambir, Jakarta", Kurang dari setahun, IDR 4.000.000 - 5.000.000
Human Resource,"Kebayoran Baru, Jakarta", Kurang dari setahun, IDR 5.000.000 - 6.000.000
Graphic Designer,"Kuningan, Jakarta", 1 – 3 tahun,
Client Relations,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Graphic Designer,"Tambora, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 15.000.000
Accounting Staff,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 7.500.000
