Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
"Marketing Jakarta (Utara, Pusat, Barat, Timur, Selatan)",PT Bistem Jaya Mandiri,"Akuntansi, Keuangan",head office - Jakarta Timur,IDR 3.250.000 - 4.650.000,Setidaknya 1 tahun
Finance & Tax Staff,PERSOLKELLY Recruitment Indonesia,Penjualan dan Pemasaran,Jakarta Selatan - Jakarta Selatan,Gaji Kompetitif,0 tahun
Sales and Marketing Executive (Property - Town House),PT Rajawali Anugrah Resources,Pemasaran Internet,head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
BEKASI LEADER SALES / SALES FORCED ,PT Kaliabang Jaya Pratama,Juru Gambar,head office - Bekasi,IDR 3.500.000 - 5.500.000,0 tahun
Drafter,PT Handal Guna Sarana,"TI, Programmer",head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Senior Programmer,PT Ebako Nusantara,Riset,head office - Semarang,Gaji Kompetitif,Setidaknya 1 tahun
Research & Development Manager,PT Bahtera Pesat Lintasbuana,Penjualan (Non-Teknis),Bandung - Bandung,Gaji Kompetitif,2 tahun
canvasser,PT Global Platform Asiatic,"Teknik, Perangkat Lunak",head office - Tangerang,IDR 3.200.000 - 4.000.000,Setidaknya 1 tahun
Android Developer,PT Pru Winner,Pengembangan Bisnis,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Marketing,PT Creatorz Media Network,General Management,head office - Tangerang,Gaji Kompetitif,3 tahun
Operational and Admin Manager,PT Recruit First Indonesia,Operasi Gudang,Branch Office - Cikarang,Gaji Kompetitif,2 tahun
Warehouse Staff ( Forklift ),PT Higienis Indonesia,"Akuntansi, Keuangan",head office - Jakarta Selatan,IDR 4.000.000 - 4.285.799,Setidaknya 1 tahun
Senior Accounting & Tax,PT Elabram Systems,"Teknik, Telekomunikasi",Prov. DKI-Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,8 tahun
IP Planning Engineer,Griyamu Indonesia,Penjualan dan Pemasaran,head office - Surabaya,IDR 6.000.000 - 7.000.000,3 tahun
 Sales Executive,Confidential Company,"Akuntansi, Keuangan",head office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
Senior Staff Accounting,PT Mitra Kreasi Nusantara Sejahtera,Administrasi,head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
Operator gudang,PT Aventama Hervent Solusindo,Pemasaran (Non-Teknis),head office - Bandung,IDR 4.500.000 - 5.500.000,0 tahun
Marketing Supervisor,PT Qerja Manfaat Bangsa (QMB),Sumber Daya Manusia,head office - Jakarta Barat,Gaji Kompetitif,3 tahun
Human Resource Manager,KAP Morhan dan Rekan,"Akuntansi, Keuangan",head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
Senior Auditor,PT Bangun Sumberdaya Mandiri,Model Fashion,Prov. DKI-Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
SPG Hijab,PT CGM INDONESIA,Penerjemah,Ceragem Center Bandung - Bandung,IDR 4.614.854 - 5.000.000,Setidaknya 1 tahun
Korean Translator,PT Bangun Karya Persada Nusantara,Management Trainee,Nunukan - ,Gaji Kompetitif,Setidaknya 1 tahun
Operation Trainer Supervisor,Yayasan Tarumanagara,"Akuntansi, Keuangan",head office - Jakarta Barat,IDR 12.500.000 - 16.000.000,5 tahun
Staff Budgeting & Reporting,PT ECS Raya Indonesia,"Teknik, Elektro ",head office - Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Teknisi Inverter & Panel Listrik (Solar Energy),Atlantic Biruraya,Penjualan dan Pemasaran,PT. Atlantic Biruraya - Jember - Jember,IDR 4.500.000 - 5.500.000,0 tahun
Sales Supervisor,PT Khan Yoga Fit,Penjualan dan Pemasaran,Just Yoga Times Square Serpong - Tangerang,Gaji Kompetitif,2 tahun
Sales Leader ,PT Avery Dennison Indonesia,Pemasaran (Non-Teknis),head office - Cikarang,Gaji Kompetitif,0 tahun
Key Account Manager Reflective Unit,Yayasan Tarumanagara,"Akuntansi, Keuangan",head office - Jakarta Barat,Gaji Kompetitif,5 tahun
Staff Petty Cash,PT Markija Berdaya Bersama,Kreatif / Desain,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Penjahit,PT Mitra Kreasi Nusantara Sejahtera,Administrasi,head office - Jakarta Selatan,IDR 8.600.000 - 10.200.000,Setidaknya 1 tahun
Staff administrasi,PT Avery Dennison Indonesia,"Teknik, Pertanian",head office - Cikarang,IDR 4.400.000 - 5.500.000,0 tahun
Early Career Program Associate (Management Trainee) - Commercial,PT Solusindo Bintang Pratama,Pengembangan Bisnis,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Project Officer,PT Muliaform Grafido,Administrasi,head office - Semarang,Gaji Kompetitif,Setidaknya 1 tahun
Staff Inventory Control,PT Mitra Kreasi Nusantara Sejahtera,Fresh Graduate,head office - Jakarta Selatan,IDR 2.830.500 - 3.000.000,2 tahun
resepsionis kantor,PT Mitra Kreasi Nusantara Sejahtera,Logistik,head office - Jakarta Selatan,IDR 4.500.000 - 5.500.000,0 tahun
Staff gudang ,PT Dhyas Mitra Usaha,Pemasaran (Teknis),head office - Bogor,IDR 4.500.000 - 5.500.000,0 tahun
Marketing Representative Alat Kesehatan,PT Bahtera Pesat Lintasbuana,"Teknik, Komputer",tangerang selatan - ,Gaji Kompetitif,Setidaknya 1 tahun
IT Helpdesk perbankan,PT Banten West Java-TDC (Tanjung Lesung Resort),Agen Real Estat,Jakarta Pusat - Jakarta Pusat,IDR 4.600.000 - 5.000.000,Setidaknya 1 tahun
Sales Executive,PT Mitra Kreasi Nusantara Sejahtera,Administrasi,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Operator gudang,PT Tanu Alvindo Perkasa,Penjualan dan Pemasaran,Depo Purwokerto 2 - Purwokerto,IDR 4.500.000 - 5.500.000,0 tahun
